Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Jorge Comin (Metge) - Terrateig,224,T,5,14,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.40358847435527895, 39.480568366964896], ""type"": ""Point""}","39.480568366964896, -0.40358847435527895",Campanar
Aitana - Florista,229,T,3,13,16,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}","39.493104403991694, -0.39480643424749534",Benicalap
San Juan Bosco - Santiago Rusiñol,233,T,8,7,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.36943734517384297, 39.497160406039164], ""type"": ""Point""}","39.497160406039164, -0.36943734517384297",Rascanya
Conde Torrefiel - Cecilio Plá,235,T,8,6,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3772033703255944, 39.49804541205544], ""type"": ""Point""}","39.49804541205544, -0.3772033703255944",Rascanya
Nueve de Octubre - Cieza,245,T,0,20,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}","39.47213024806011, -0.40527029936434095",l'Olivereta
Tres Cruces - Músico Ayllón,247,T,0,15,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.4055734914728698, 39.467410323935766], ""type"": ""Point""}","39.467410323935766, -0.4055734914728698",l'Olivereta
Plaza Músico Espí,234,T,10,5,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3736443597891149, 39.49649940567526], ""type"": ""Point""}","39.49649940567526, -0.3736443597891149",Rascanya
Valle de la Ballestera - Pio Baroja,244,T,6,14,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40613648554970433, 39.47850636088407], ""type"": ""Point""}","39.47850636088407, -0.40613648554970433",Campanar
Tres Cruces - Jose Maria Mortes Lerma,248,T,4,16,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.40496949382893443, 39.46284030885798], ""type"": ""Point""}","39.46284030885798, -0.40496949382893443",Patraix
Tres Cruces - Pio XI,250,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4008070181198941, 39.456352245577065], ""type"": ""Point""}","39.456352245577065, -0.4008070181198941",Patraix
Maestro Rodrigo - Manuel de Falla,222,T,10,10,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39728245609920837, 39.47689335174765], ""type"": ""Point""}","39.47689335174765, -0.39728245609920837",Campanar
Alcasser - Poeta Alberto Lista,265,T,0,15,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.40811749816977394, 39.470973337167365], ""type"": ""Point""}","39.470973337167365, -0.40811749816977394",l'Olivereta
Salvador Cerveró - Carlos Cortina,271,T,0,15,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38989141267304944, 39.49927942267903], ""type"": ""Point""}","39.49927942267903, -0.38989141267304944",Benicalap
Moraira - Alta del Mar,273,T,4,11,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3332722584595297, 39.450305232524904], ""type"": ""Point""}","39.450305232524904, -0.3332722584595297",Poblats Maritims
Canal de Navarrés - Maestro Rodrigo,266,T,0,18,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40637147642320165, 39.49028940014262], ""type"": ""Point""}","39.49028940014262, -0.40637147642320165",Campanar
"Plaza Luis Cano, 5",268,T,7,3,10,T,16/06/2023 16:09:04,"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}","39.50144544298018, -0.41849350927046264",Poblats de l'Oest
Vicente la Roda - Ingeniero Fausto Elio,272,T,11,4,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.33219023115385166, 39.48062333339468], ""type"": ""Point""}","39.48062333339468, -0.33219023115385166",Poblats Maritims
San Francisco de Paula - Castell de Pop,274,T,7,8,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3331882593063431, 39.44807022576504], ""type"": ""Point""}","39.44807022576504, -0.3331882593063431",Poblats Maritims
