Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
32530;Moli del Sol;04/02/2020;Jueves;4;2;2020;10.0;3.0;7.0;68.0;6.0
10525;Viveros;19/02/2012;Domingo;19;2;2012;25.0;7.0;28.0;34.0;3.0
32532;Politecnico;04/02/2020;Jueves;4;2;2020;5.0;2.0;4.0;65.0;3.0
10526;Avda. Francia;20/02/2012;Lunes;20;2;2012;9.0;;;40.0;2.0
32533;Viveros;04/02/2020;Jueves;4;2;2020;11.0;2.0;4.0;73.0;3.0
10528;Moli del Sol;20/02/2012;Lunes;20;2;2012;;22.0;50.0;42.0;2.0
32540;Pista Silla;04/03/2020;Viernes;4;3;2020;8.0;7.0;13.0;;5.0
10529;Pista Silla;20/02/2012;Lunes;20;2;2012;26.0;40.0;47.0;30.0;6.0
10531;Viveros;20/02/2012;Lunes;20;2;2012;22.0;27.0;43.0;53.0;4.0
32549;Pista Silla;04/04/2020;Sabado;4;4;2020;9.0;3.0;8.0;;6.0
10538;Avda. Francia;22/02/2012;Miercoles;22;2;2012;13.0;;;24.0;7.0
32550;Politecnico;04/04/2020;Sabado;4;4;2020;9.0;2.0;4.0;61.0;3.0
32551;Viveros;04/04/2020;Sabado;4;4;2020;17.0;2.0;6.0;69.0;3.0
10541;Pista Silla;22/02/2012;Miercoles;22;2;2012;34.0;43.0;50.0;20.0;8.0
10544;Avda. Francia;23/02/2012;Jueves;23;2;2012;14.0;;;26.0;5.0
32559;Politecnico;04/05/2020;Domingo;4;5;2020;11.0;2.0;3.0;70.0;3.0
10546;Moli del Sol;23/02/2012;Jueves;23;2;2012;;28.0;50.0;37.0;5.0
10552;Moli del Sol;24/02/2012;Viernes;24;2;2012;;27.0;44.0;32.0;2.0
10553;Pista Silla;24/02/2012;Viernes;24;2;2012;37.0;42.0;62.0;22.0;4.0
10554;Politecnico;24/02/2012;Viernes;24;2;2012;;8.0;36.0;35.0;4.0
32566;Moli del Sol;04/06/2020;Lunes;4;6;2020;23.0;5.0;9.0;70.0;
10558;Moli del Sol;25/02/2012;Sabado;25;2;2012;;25.0;58.0;44.0;2.0
32568;Politecnico;04/06/2020;Lunes;4;6;2020;15.0;3.0;5.0;65.0;3.0
10559;Pista Silla;25/02/2012;Sabado;25;2;2012;40.0;29.0;52.0;30.0;3.0
32569;Viveros;04/06/2020;Lunes;4;6;2020;18.0;4.0;9.0;74.0;3.0
10562;Avda. Francia;26/02/2012;Domingo;26;2;2012;13.0;;;41.0;2.0
10564;Moli del Sol;26/02/2012;Domingo;26;2;2012;;9.0;30.0;56.0;2.0
32573;Avda. Francia;04/07/2020;Martes;4;7;2020;8.0;1.0;3.0;96.0;4.0
10572;Politecnico;27/02/2012;Lunes;27;2;2012;;5.0;23.0;41.0;0.0
10573;Viveros;27/02/2012;Lunes;27;2;2012;;7.0;24.0;31.0;1.0
10574;Avda. Francia;28/02/2012;Martes;28;2;2012;13.0;;;41.0;1.0
32584;Moli del Sol;04/08/2020;Miercoles;4;8;2020;26.0;5.0;9.0;68.0;
10580;Avda. Francia;29/02/2012;Miercoles;29;2;2012;17.0;45.0;57.0;35.0;1.0
32585;Pista Silla;04/08/2020;Miercoles;4;8;2020;16.0;5.0;14.0;76.0;4.0
10589;Pista Silla;03/01/2012;Jueves;3;1;2012;44.0;29.0;50.0;36.0;
32587;Viveros;04/08/2020;Miercoles;4;8;2020;18.0;4.0;10.0;75.0;3.0
10592;Avda. Francia;03/02/2012;Viernes;3;2;2012;18.0;13.0;50.0;46.0;2.0
32591;Avda. Francia;04/09/2020;Jueves;4;9;2020;13.0;1.0;7.0;86.0;3.0
10594;Moli del Sol;03/02/2012;Viernes;3;2;2012;;;;51.0;
32593;Moli del Sol;04/09/2020;Jueves;4;9;2020;25.0;4.0;9.0;74.0;
10597;Viveros;03/02/2012;Viernes;3;2;2012;;;;;2.0
32600;Avda. Francia;04/10/2020;Viernes;4;10;2020;20.0;1.0;7.0;76.0;3.0
10600;Moli del Sol;03/03/2012;Sabado;3;3;2012;;;;52.0;8.0
32602;Moli del Sol;04/10/2020;Viernes;4;10;2020;32.0;3.0;6.0;70.0;
10607;Pista Silla;03/04/2012;Domingo;3;4;2012;37.0;;;48.0;
32603;Pista Silla;04/10/2020;Viernes;4;10;2020;20.0;3.0;8.0;79.0;5.0
10610;Avda. Francia;03/05/2012;Lunes;3;5;2012;10.0;4.0;25.0;65.0;1.0
32604;Politecnico;04/10/2020;Viernes;4;10;2020;25.0;2.0;4.0;67.0;4.0
10615;Viveros;03/05/2012;Lunes;3;5;2012;;;;;1.0
10616;Avda. Francia;03/06/2012;Martes;3;6;2012;8.0;8.0;36.0;54.0;2.0
10622;Avda. Francia;03/07/2012;Miercoles;3;7;2012;9.0;19.0;38.0;61.0;2.0
32612;Pista Silla;04/11/2020;Sabado;4;11;2020;15.0;4.0;9.0;76.0;4.0
10624;Moli del Sol;03/07/2012;Miercoles;3;7;2012;;;;48.0;4.0
32614;Viveros;04/11/2020;Sabado;4;11;2020;22.0;3.0;6.0;76.0;3.0
10625;Pista Silla;03/07/2012;Miercoles;3;7;2012;25.0;;;43.0;
32618;Avda. Francia;04/12/2020;Domingo;4;12;2020;12.0;1.0;2.0;99.0;3.0
10627;Viveros;03/07/2012;Miercoles;3;7;2012;;;;;2.0
10628;Avda. Francia;03/08/2012;Jueves;3;8;2012;12.0;10.0;38.0;;3.0
32620;Moli del Sol;04/12/2020;Domingo;4;12;2020;28.0;3.0;3.0;85.0;
10633;Viveros;03/08/2012;Jueves;3;8;2012;;;;;1.0
32622;Politecnico;04/12/2020;Domingo;4;12;2020;23.0;2.0;3.0;81.0;4.0
10634;Avda. Francia;03/09/2012;Viernes;3;9;2012;11.0;10.0;29.0;;1.0
10637;Pista Silla;03/09/2012;Viernes;3;9;2012;27.0;;;50.0;
