Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
09-UNIVERSIDAD POPULAR;UP BENICALAP;C/. LOUIS BRAILLE, 1 (parc);16;162;1;423;;;;UP11;"{""coordinates"": [-0.39563299225252885, 39.496183213368624], ""type"": ""Point""}";39.496183213368624, -0.39563299225252885
07-ALCALDIA DE BARRIO;ALCALDIA DE FORN D'ALCEDO;C/. GUADALQUIVIR, 15;19;191;1;424;;;;AB01;"{""coordinates"": [-0.37613390739669833, 39.43259613113737], ""type"": ""Point""}";39.43259613113737, -0.37613390739669833
03-ASOCIACION VECINOS;"ASOCIACION DE VECINOS ""ARNICHES""";C.V. XIRIVELLA, 1;7;072;1;425;;;;AV01;"{""coordinates"": [-0.40841802232151014, 39.47269409722403], ""type"": ""Point""}";39.47269409722403, -0.40841802232151014
09-UNIVERSIDAD POPULAR;UP PARRETA;C/. VICENT PERIS, 3;5;054;1;429;;;;UP07;"{""coordinates"": [-0.3814435600108877, 39.48987368837492], ""type"": ""Point""}";39.48987368837492, -0.3814435600108877
05-CENTROS JUVENILES;CM JUVENTUD BENIMACLET;C/. ARQUITECTE ARNAU, 63;14;141;1;431;;;;JU05;"{""coordinates"": [-0.3563851494242388, 39.4864581599911], ""type"": ""Point""}";39.4864581599911, -0.3563851494242388
04-CENTRO EDUCATIVO;COLEGIO PUBLICO MUNICIPAL BENIMACLET;C/. ARQUITECTE ARNAU, S/N;14;142;1;435;;;;ED33;"{""coordinates"": [-0.3559671813311137, 39.48687042159499], ""type"": ""Point""}";39.48687042159499, -0.3559671813311137
07-ALCALDIA DE BARRIO;ALCALDIA EL PERELLONET;AV. GAVINES, S/N;19;196;1;438;;;;AB05;"{""coordinates"": [-0.288838341436949, 39.29791367934801], ""type"": ""Point""}";39.29791367934801, -0.288838341436949
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""RUZAFA""";C/. CUBA, 63;2;021;1;439;;;;MA01;"{""coordinates"": [-0.3750283944096615, 39.45927560875788], ""type"": ""Point""}";39.45927560875788, -0.3750283944096615
04-CENTRO EDUCATIVO;CEIP JOSE SOTO MICO;C/. BEETHOVEN, S/N;9;092;1;440;;;;ED17;"{""coordinates"": [-0.3900151196451928, 39.450218209783365], ""type"": ""Point""}";39.450218209783365, -0.3900151196451928
09-UNIVERSIDAD POPULAR;UP SAN ISIDRO;C/. JOSI ANDREU ALABARTA, 25;8;082;1;447;;;;UP04;"{""coordinates"": [-0.40420449524049834, 39.45333684899232], ""type"": ""Point""}";39.45333684899232, -0.40420449524049834
